Nom	Description	Adresse	URL	Equipements	Horaire	Type	Superficie	Postes	7j/7	Parking	Services
Eko Studio - Espace atypique - Lyon Confluence	"Bonjour,Nous proposons des espaces de co-working dans notre tiers-lieu et également la location d'un espace réceptif pour des réunions, séminaires, comex, ...Profitez d'un cadre exceptionnel, sur l'eau, en plein cœur du quartier de Lyon Confluence. N'hésitez pas à nous contacter pour plus d'informations.Notre barge Eko Studio est située en face du restaurant Docks 40 et à 2 deux pas du centre commercial de Confluence. Accès en transports en commun facile et lien direct avec les gares de Perrache & Part-Dieu.Notre tiers-lieu héberge notre petite entreprise : IKADA, agence digitale & vidéo ainsi qu'une association : ""Le Maquis"" qui a pour objet d´œuvrer pour la préservation de notre planète par la sensibilisation à la transition énergétique et à la protection des océans. Notre lieu est également le premier démonstrateur à énergie positive à taille humaine pour s'immerger dans la transition énergétique.Pour le co-working, nous recherchons des profils dans les secteurs du digital (développeurs notamment), événementiel & vidéo en priorité.Rejoins notre cadre de travail idyllique à énergie(s) positive(s) ;)"	46 Quai Rambaud, 69002 Lyon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8771/coworking-lyon-eko-studio-espace-atypique-lyon-confluence	Internet haut débit//Espace pause//Espace extérieur//Cuisine//Climatisation	8h30 - 19h30	Coworking	100	46	Non	Oui	Table de réunion//Casier//Imprimante//Périphériques informatiques//Scanner//Whiteboard digital//Écran//Équipement de cuisine
Hotel Mercure Auxerre	Idéalement situé entre Paris et Lyon, notre hôtel bénéficie d'un environnement agréable et calme, privilégiant les moments de travail et de détente.Nos salles disposent toutes de larges baies vitrées, vous profiterez ainsi abondamment de la lumière du jour et d'un accès direct à notre magnifique terrasse et parc de verdure.	"RN 6 - Lieu dit ""Le Chaumois"", 89380 APPOIGNY"	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8829/lieu-dedie-evenementiel-appoigny-hotel-mercure-auxerre	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Climatisation	8h00 - 0h	Lieu dédié événementiel		 330 m2	Oui	Oui	Table de réunion//Matériel de sonorisation//Parking//Tableaux//Vestiaire//Vidéo-projecteur//Écran//Déjeuner 28€/unité//Pause café/snack 8€/unité//Café d'accueil 6€/unité//Imprimante 0.3€/unité
Baya Axess Lyon	La proximité immédiate de la gare de Perrache et de l’hypercentre-ville de Lyon fait du quartier de La Confluence un pôle économique attractif et dynamique, plébiscité par de multiples enseignes. Avec le centre d’affaires Baya Axess, domiciliez votre entreprise, louez votre bureau ou réservez votre salle de réunion dans un quartier à fort potentiel.	3 cours Charlemagne, 69002 Lyon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7483/centre-d-affaires-lyon-baya-axess-lyon	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		148	Non	Oui	Boissons chaudes 3€/unité//Chouquettes 5€/unité//Viennoiseries 6.5€/unité//Impression n/b 0.08€/unité//Impression couleur 0.2€/unité
Focus - Rive de Saône	Cet espace de bureau, organisé en colocation d’entreprises, se trouve dans une zone de passage de la métropole lyonnaise : à proximité immédiate de la Gare de Perrache (Gare TGV, TER, Métro,Tram et de nombreuses lignes de bus) ainsi que du tunnel sous Fourvière A6 – A7, pôle principal d’échange de toute l’agglomération lyonnaise.La surface de bureaux est entièrement rénovée et équipée. Elle offre des bureaux fermés allant de 10m² à 48m². Certaines zones sont décloisonnables et peuvent accueillir de grandes équipes ! >br> La décoration est moderne, colorée et permet de travailler dans des conditions agréables et dans le calme. Le tout est proposé en prestations de services : votre immobilier est flexible et vous accompagne selon vos besoins !	41 quai Fulchiron, 69005 Lyon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8695/coworking-lyon-focus-rive-de-saone	Internet haut débit//Accès handicapé//Espace pause//Cuisine//Climatisation	8h00 - 0h	Coworking	745	29	Oui	Oui	Frigo connecté 6€/unité
Workoon, un bureau comme à la maison	Au sein d'un plateau haussmannien de 300 m², Workoon vous propose des bureaux entièrement équipés au design personnalisé. Workoon, plus qu’un centre d’affaires, un bureau d’hôtes.	4 rue de la République, 69001 Lyon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5020/centre-d-affaires-lyon-workoon-un-bureau-comme-a-la-maison	Internet haut débit//Cuisine	9h00 - 18h00	Centre d'affaires		15	Non	Oui	Café offert//Thé offert//Imprimante multi-fonction//Utilisation gratuite du scanner//Renvoi courrier à l'adresse de votre choix//Sur demande//Douche en libre accès//Appels illimités vers fixes et mobiles en france 40€/mois//Réception et stockage courrier 49€/mois
Le Trèfle Lyon	Notre espace évolutif pour entrepreneurs propose au sein de ses espaces, des bureaux privatifs et des postes en coworkingIdéalement, situé sur la presqu’ile de Lyon Paris 2, sur les quais entre le pont Lafayette et le pont Wilson. Métro Cordeliers.RARE, ATYPIQUE ET PLEIN DE CHARME : ancien atelier dans très jolie copropriété transformé en 2 bureaux de 60m² annexé à un espace de coworking, pouvant accueillir au maximum 10 postes de travail avec entrée indépendante, kitchenette et espace de détente.Environnement calme sur cour intérieur, charme de l'ancien avec ses plafonds à la française et ses murs en pierre, vous profitez de tous les avantages d'un espace collaboratif et de ses services partagés : - Internet Haut débit avec câbles RG45- Accès à un espace de reprographie (photocopieur, imprimante)- La possibilité d’utiliser la salle de réunion de 8 personnes commune aux 3 sociétés- La possibilité d’une téléphonie Voix IPLoyer à 920€ de loyer 140€ de charges (hors ménage)N'hésitez pas à nous contacter pour visiter !	8 quai Jules Courmont, 69000 Lyon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4830/centre-d-affaires-lyon-le-trefle-lyon		9h00 - 18h00	Centre d'affaires		120	Oui	Oui	Impression / copie 0.5€/unité
WOJO Lyon Grand Hotel Dieu	2 Bureaux	4 place Amédée Bonnet 69002 Lyon, 69002 Lyon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7565/centre-d-affaires-lyon-wojo-lyon-grand-hotel-dieu	Internet haut débit//Une personne à l'accueil	8h00 - 18h00	Centre d'affaires		101	Non	Oui	
Deskeo LYON	1 Bureau	69 rue de la République , 69002 Lyon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7463/centre-d-affaires-lyon-deskeo-lyon	Internet haut débit//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	8h00 - 18h00	Centre d'affaires		100	Non	Oui	
JDSCENTER OULLINS	Notre business center Lyon Sud – Oullins se situe dans l’une des 59 communes de la métropole de Lyon. Plus exactement dans le quartier d’affaires de la Saulaie : un site de rencontres professionnelles unique à Lyon.Implanté, proche des grands axes, dans une zone d’activité commerciale de 22 hectares, notre centre d’affaires est au cœur du quartier de la Saulaie, en pleine expansion notamment avec la construction du pôle multimodal (gare et station de métro).Aux portes Sud de Lyon, le centre d’affaires d’Oullins est situé dans le programme immobilier « Les Jardins de la Saulaie » qui s’étend sur 5400 m².Face à Gerland et à Confluence, à 10min de la place Bellecour et à 5min de la gare de Perrache et de la gare d’Oullins, notre business center d’Oullins est facilement accessible.Notre centre d’affaires à Lyon – Oullins - Immeuble tertiaire R+1 sécurisé par contrôle d’accès, - Vidéosurveillance, - Parkings extérieurs et intérieurs, - Espaces verts, terrasses, - Un restaurant, - Amphithéâtre extérieur, auditorium. - Une architecture moderne, transparente et conviviale au service des utilisateurs.Configuration du centre d’affaires : - 2000 m² dédiés à l’ensemble des services - 30 bureaux, 70 postes de travail - 6 salles de réunion - Fibre Optique - Auditorium de 90 places - Restaurant de 160 places	12 Avenue des Saules, 69600 OULLINS	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5171/centre-d-affaires-oullins-jdscenter-oullins	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	8h00 - 18h30	Centre d'affaires	1500	159	Non	Oui	Bouteille d'eau//Casier//Périphériques informatiques//Equipements pour salle de réunion//Parking//Accès handicapé//Climatisation//Signalétique//Internet par fibre//Permanence téléphonique//Accès 24h/24//Ménage//Taxes et assurances//Energies//Domiciliation//Accueil dédié//Machine à encas 1€/unité//Formule petit déjeuner 0€/unité//Pause café 2€/unité//Pause goûter 6.5€/unité//Pause légère 4€/unité//Formule repas 18€/unité//Machine à café 0.6€/unité//Salle de réunion 90€/demi-journée//Secrétariat 30€/heure
Weréso Foch	Au cœur du 6ème arrondissement de Lyon, nous vous proposons un espace dépaysant et lumineux signé Gustave Eiffel, au sein d’un ancien atelier de soierie. Nous vous proposons des bureaux privatifs, des espaces partagés et des salles de réunion.Situé à proximité du Parc de la Tête d’Or et des berges du Rhône, le lieu est idéal pour celles et ceux qui souhaitent s’accorder une pause sportive. En prime, nos douches sont en accès libre !ACCÈS À NOS LOCAUXPour accéder à weréso Lyon, rien de plus simple !En métro : - Ligne A : station FOCH.En bus :- Ligne C4 : arrêt FOCH ROOSEVELT METRO- Ligne 27 : arrêt FOCH ROOSEVELT METRODepuis la gare TGV Part-Dieu :- 15 min à pied- 12 min en métro - 5 min en véloDepuis la gare TGV Perrache :- 15 min en métro - 10 min en véloDepuis l’aéroport St-Exupéry:- 35 min : navette Rhône Express, descendre à VAULX-LA-SOIE, puis métro A Pour plus d’informations : Contactez-nous au 04 81 13 11 20, et venez découvrir nos locaux !www.wereso-lyon.fr	18 rue Tronchet, 69006 Lyon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/4875/coworking-lyon-wereso-foch	Internet haut débit//Une personne à l'accueil//Cuisine//Climatisation	8h00 - 17h30	Coworking		 917 m2	Non	Oui	Café/thé/eau//Fruits et bonbons//Imprimante/scanneur/copieur//Tableaux//Ligne téléphonique dédiée//Vestiaire//Ecrans, téléviseurs//Douche//Cocktail froid/chaud 25€/unité//Plateau repas 20€/unité//Petit déjeuner 5€/unité//Domiciliation 30€/mois
Regus Lyon - Gerland	Cet accueillant bâtiment vitré se trouve au cœur du quartier d'affaires très prisé de Lyon. Les bureaux élégants et bien équipés ont été rénovés selon des normes de qualité élevées, avec un espace de coworking contemporain et des salles de réunion flexibles faciles à réserver. Le bâtiment se trouve dans l'aire urbaine de Gerland, qui accueille plus de 2 000 entreprises, c’est donc l'endroit idéal pour dénicher des contacts, des clients et des talents.En plus d'un parking souterrain, Regus Lyon Gerland est facilement accessible en transports en commun, notamment via l’arrêt de bus Lyon Perrache et la station de métro Place Jean Jaurès. Envie de changer de décor ou de divertir vos clients ? Ce quartier d’affaires animé a beaucoup à offrir, y compris le musée d'histoire militaire et le musée des Confluences, ainsi que la possibilité de se promener tranquillement le long du Rhône.	23 Rue Crepet, 69007 Lyon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8343/centre-d-affaires-lyon-regus-lyon-gerland	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		50	Non	Oui	
18 Coworking	Nomade, ergonomique ou dédié, vous trouvez le bureau qu’il vous faut !Situé 18 rue Servient, à mi-chemin entre la Part-Dieu et Bellecour, le 18 vous propose une adresse optimale pour booster votre activité et profiter de l’effervescence d’un quartier dynamiqueA chaque moment de votre journée une ambiance différente : urbain et cosy à votre bureau, vintage pour vos séances de brainstorming, boisée à la pause déjeuner, et bleu océan pour faire un breakLes espaces : - Openspace , coloré et confortable- Mezzanine, pour avoir des séances de brainstorming- PhoneBox, pour téléphoner en toute tranquillité- Salle de réunion pour 6 personnes, en libre accès- Espace de détente, - Espace cuisine- Douche, sanitairesTout ce qu’il faut pour travailler dans de bonnes conditions. Mis à votre disposition pour une expérience optimale :- Accès 24/7 avec code personnel- Thé et café en libre service- Domiciliation d’entreprise- Wifi / Fibre (jusqu’à 1Gb/s)- Imprimante professionnelle- Climatisation- Bibliothèque collaborative- Ecrans Tv et tableaux BlancsAccès :- Arret de tramway Liberté (à 100 mètres)- 7 minutes en bus de la Gare Part-Dieu- Station de Vélo’v à 100 mètres- Arret de métro Cordelier (5 minutes à pied	18 rue Servient, 69003 LYON 3E ARRONDISSEMENT	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6467/coworking-lyon-3e-arrondissement-18-coworking	Internet haut débit//Accès handicapé//Espace pause//Cuisine//Climatisation	8h00 - 18h00	Coworking	130	22	Non	Oui	Casier de bureau//Imprimante//Périphériques informatiques//Scanner//Tv//Tableaux//Vidéo-projecteur//Équipement de cuisine//Domiciliation//Formation//Salle d'eau
Skywork Centre d'Affaires	Skywork, Centre d’affaires contemporain et intimiste situé à Lyon, au coeur de la Part-Dieu. Un centre d’affaires avant tout intimiste et à taille humaine qui regroupe 15 bureaux privés et 2 salles de réunion pour travailler seul ou en équipe niché au 11ème étagede la Tour Britannia.Une aventure humaine grâce au partage de lieux communs esthétiques et très bien organisés pour satisfaire au mieux les attentes des clients. L’objectif est d’accueillir une large diversité de professionnels de tous horizons.Skywork siège au 11ème étage de la Tour Britannia et dans le désormais célèbre quartier d’affaires de la Part-Dieu.Skywork est au coeur stratégique de la métropole lyonnaise, à deux pas de toutes les commodités.	20 Boulevard Eugène Deruelle, 69003 Lyon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8175/centre-d-affaires-lyon-skywork-centre-d-affaires	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Cuisine//Climatisation	8h00 - 22h00	Centre d'affaires	380	118	Non	Oui	Cable hdmi et apple tv//Scanner//Téléviseur lg 165cm//Tableau magnétique en verre, mobile//Apple tv - visio conférence//Cuisine 100% equipée//Accueil dédié//Mise en place de la salle//Plateaux repas 23€/unité//Café / snack 7€/unité//Petit déjeuner 8€/unité//Imprimante a3/a4 0.5€/unité//Domiciliation commerciale ou postale 39€/mois 49€/mois
